,Job Query,Company,Location,Title,URL,Job Description
0,mobile-developer,Finnair Oyj,Vantaa,"Mobile Developer, Aurinkomatkat Mobile App",https://avoimettyopaikat.monster.fi/mobile-developer-aurinkomatkat-mobile-app-vantaa-finland-finnair-oyj/11/199893392,"We are now looking for an experiencedMobile Developerto create meaningful digital solutions for Aurinkomatkat customers. As a Mobile Developer, you will join an interdisciplinary team of business experts, analysts, UX designers and other developers to create high-end digital solutions for our customers. Not to mention, you will get to work on the Aurinkomatkat Mobile App, which was recently rewarded with two Red Dot awards!As a team member, you will bring the digital products to life on both iOS and Android mobile platforms. You are a team player with a relevant experience in mobile development for Finnish or international consumer applications across multiple platforms. We expect you to have a passion and track record for creating impactful, digital experiences that have an impact on users and businesses.Your main responsibilities will include:- Taking the ownership of Aurinkomatkat iOS and Android codebases and the code quality- Technology consultancy  you follow actively whats happening in the mobile applications field and   you like to share this knowledge- Understanding the business and challenging the existing solutions- Going from idea to implementationTo be considered for the position, we expect you to have:- Deep understanding of Android and/or iOS SDK- Experience in developing and maintaining efficient code and a strong focus on high quality mobile   UI experiences- Experience of Scrum and working closely with product teams with all the stakeholders to create     delightful mobile experiences- Consultative and business oriented mindset when it comes to new enablers for both applications- Some level of understanding of the entire stack even though you are responsible of mobile        development- Basic knowledge of AWS cloud services and complex ERP systems and integrations will be         considered as an asset- Relevant experience required, preferably with a high-quality product- Applicable educationAlready widely used and popular Aurinkomatkat mobile application is an essential component in developing Aurinkomatkat customer experience even further. We offer you an exciting and challenging role and a chance to lead the digitalization of our customers travel experience. You will have an excellent possibility to develop your own skills in a growth company and work in a professional team with high team spirit, along with the modern office spaces and benefits.Want to join? Fill in an application form and we will get back to. We will start inviting the first candidates for interviews already during the application period. We encourage you to submit also a link to your GitHub etc. For more information, please contact Finnair Recruitment (jobs@finnair.com) "
1,mobile-developer,Musopia Oy,Helsinki,Senior Mobile Developer - music,https://avoimettyopaikat.monster.fi/senior-mobile-developer-music-helsinki-uusi-finland-musopia-oy/11/200396330,"Senior Mobile Developer - music, Helsinki You - music lover! Would you like to disrupt the way of learning music for good? We are looking for an experienced developer with capability to understand system architecture and be part of defining our technology strategy. You may have all that it takes to fill this position, but you are still looking for an opportunity. The team is developing a unique and truly global concept to ease the early steps of learning to play a musical instrument. As you would oversee our data/cloud operations you would have a unique place to see and understand how our 3 million users learn to play and understand what our business to business partnerships like Yamaha, the world's biggest musical instrument manufacturer is interested to learn about beginner player behaviour. Working with awesome vendors and technology partners may be also your option and bring you more experience. Is this music to your ears - would you like to hear more? We are looking for: - Recent hands-on skills with native mobile app development, preferably proven by apps published on App Stores (iOS, Android or Unity) - Experience in server-side programming, databases (relational / NoSQL), cloud platforms (e.g. Google / AWS / Heroku) - Strong OOP knowledge and understanding of software design patterns - System level software architecture experience - Experience working with 3rd party services integration and vendors - Ability to quickly get on board with Unity and C# development, bonus points for Node.js and Firebase - Interest in UI development is a plus but not obligatory We value: - Capability to work independently and efficiently - Understanding of software development process models - Suitable university degree and/or proven work experience - Interest in UX/UI design, audio programming or analytics - A passion to work with music and a bit of rock attitude does not hurt - Finnish language skills are not required Now we are working with e.g. Unity and Node.js, but value diversity and your desire to learn beyond specific technologies. Please surprise us. Come work with us and create awesome music e-learning apps from start to finish. Our team is super talented and easy-going, set to make an impact in the future of music business. When you join Musopia, please note that playing some musical instrument is not mandatory but there is a fair chance to learn and you will even get paid for it! We are primarily looking for full-time team members to our office located a couple of steps from Kamppi centre and Hietsu beach! Here is your chance to be part of modern music industry and win-win partnerships! To apply, please submit your application on-line no later than 23rd of September 2018. For further information, please contact Arja Martikainen from Tuesday-Thursday between 1 pm and 3 pm +358407621564. Edellytykset tynsaannille: native mobile app development, server-side programming, databases, cloud platforms, OOP knowledge, software design patterns, - System level SW architecture Eduksi luettavat asiat: published apps, 3rd party services integration, Unity, C#, Node.js, Firebase Apply latest by 24.09.2018 on our site. Or for more information please contact: arja.martikainen@barona.fi , +358407621564 Rekrytointia hoitaa Barona 			This recruitment is conducted in partnership with Barona. We are a bold expert on working life and a trusted partner in talent acquisition from start-ups to large corporations. We recruit approximately 12,500 professionals annually in various industries in Finland and internationally. "
2,mobile-developer,Academic Work,Helsinki,"Software Developer (mobile games) for Small Giant Games, Helsinki",https://avoimettyopaikat.monster.fi/software-developer-mobile-games-for-small-giant-games-helsinki-helsinki-uusi-finland-academic-work/11/200226673,"Do you have a burning interest towards game development and a will to develop into a professional in software development? You can either be a junior in the beginning of your career or be more experienced, what counts is your passion to develop further. This position offers you the opportunity to work in the fastest growing gaming company in Finland with some of the most talented developers in the field - and with a successful product. If this is something that interests you, keep reading!KuvausAcademic Work is looking for a Jr. Software Developer for our client Small Giant Games. You will be recruited to our client company. Academic Work will take care of the recruitment process, therefore candidates are kindly asked to direct all questions to Academic Work hel03@academicwork.fi TytehtvtIn this position, you will participate in developing Empires & Puzzles mobile game from the beginning of the project to the end. You will get the chance to develop and enhance new features for both Android and iOS devices. The team uses effective and agile methods (Kanban) and your tasks will depend on your current level of expertise. In this project you will have the opportunity to take a lot of responsibility and you can also feel secure in your role since you will have a supporting, senior-level team backing you up. Technologies that are used in the team are Unity, C#, Java, Scala, AWS, MongoDB and Angular. This position offers the opportunity to work with a very motivated team of professionals in a fun and lively environment! Small Giant Games is a rapidly growing company with a flexible and energetic team. You will get the unique possibility to work with developing successful products in a thriving Finnish company!Etsimmme henkil onur ideal candidate has previous experience of software development (C#, Java or Scala). You have gained your skills in developing through your studies, own projects and you might also have some previous work experience in the field. You have the ability to learn new technologies quickly and you have a sharp mind and positive attitude. You are the person we are looking for if you have a can-do approach to your work and excitement towards quality coding. You also have fluent English skills (spoken and written). Apply for this position if you have:  Previous experience of software development through studies, projects and work experience  Knowledge in C#, Java or Scala  You are a fast learner and have a positive can-do attitude  A sharp mind and are eager to produce quality code  Fluent English skills (spoken and written) Start: As soon as possible Working hours: Full time Employment period: Permanent Location: Helsinki city center Salary: According to agreement Published: 5.9.2018 INFORMATION ON THE APPLICATION PROCESS To apply for the job click on Apply here below. Remember to attach your CV into your application! We only handle applications through our website but if you have questions about the position you can reach us via email in hel03@academicwork.fi Please write the advert ID in the subject and paste the advert link in the mail. We are continuously screening and contacting candidates so make sure to send your application as soon as possible. Please notice that the advert can be removed before eventual last dates on our external advertising pages. When the advert is being removed its either due to that the processes is finished or because we have many qualified applications and are continuing in the selection/interview phase. We are the Home of the Young Professionals. We are experts in recruitment and staffing university students, recently graduated and professionals in the beginning of their career. You can be employed by us as a consultant in one of our client companies or be recruited directly to our client via our recruitment co-operation. You can read more about us at www.academicwork.fi Infoa asiakkaastaSmall Giant Games is the fastest growing gaming company in Finland. Their office is located in the Helsinki city center and the team has some of the most talented developers in Finland. They are proud of the diversity in their team and being a truly international group of passionate professionals. Kysyttv? info@academicwork.fi, Ilmoitusnumero: 15012755 "
3,mobile-developer,Yrityspalvelu VOIMA Oy,Tampere,iOS Developer (mobile applications) | Viaccess-Orca,https://avoimettyopaikat.monster.fi/ios-developer-mobile-applications-viaccess-orca-tampere-pirk-finland-yrityspalvelu-voima-oy/11/200050415,"Do you want to work with something innovative and be part of leading the development of some of the coolest TV applications?Viaccess-Orca, part of the Orange Group, has 20 years of experience in broadcasting pay-TV markets. Viaccess-Orca has more than 300 employees and provides services for more than 27 million customers. Here in Tampere, they have a small team of skilled professionals working for the parent company, Orange, and their large-scale TV projects. The good news is that they have a role for you as well.Read more:www.viaccess-orca.comWe are now looking for anIOS DEVELOPER (MOBILE APPLICATIONS)to work with Orange TVs application development team.We are looking fora person with good knowledge of iOS mobile software technologies. Your main task is to be part of an experienced team and to participate in the agile development processes. In order to succeed, you need a good understanding of the latest mobile technologies. Youshould have prior experience in Objective-C programming and be ready to work in English. It would be beneficial if you also have some programming experience with Swift or in other mobile platforms, such as Android. Most important is that you are willing and have the capability to learn what you dont already know.You will workwith the applications and be in the core of the development work of Orange-TV, which is used by millions of people. Your key stakeholders are located in Tampere, but you collaborate with an international team on assignments as well. In this role, you take part in the actual software implementation and design work.The platform you will work withis iOS (Swift/Objective-C). It is essential that you have hands-on experience in these technologies. You will also have the possibility to learn new technologies as well in the future. Viaccess-Orca has long experience in mobile TV application development, and you will now also have the possibility to become an expert in the field or further develop your skills in this area. It is also a great opportunity to participate in international projects.Viaccess-Orca offers youa great team that has worked together for almost a decade. You will learn and work with the best people in their business. The atmosphere is relaxed and informal. At Viaccess-Orca, you get to work in an independent role in a truly international company. You can choose your own tools and define the best working practices for yourself.More information:Send your application with salary request and CV as soon as possible. The position will be filled once a suitable person is found.For further information, please dont hesitate to contact Voimas consultantKristian Paloheimo(+358 10 311 3882), kristian.paloheimo@voima.info "
4,mobile-developer,Academic Work,Helsinki,"Test Engineer (mobile game development) for Small Giant Games, Helsinki",https://avoimettyopaikat.monster.fi/test-engineer-mobile-game-development-for-small-giant-games-helsinki-helsinki-uusi-finland-academic-work/11/200226674,"Do you have a vast interest in testing and want to work in an energetic and quickly growing company with motivated colleagues? Do you want to work close to the players and be involved in making quality games for millions of users? You can either be a junior in the beginning of your career or be more experienced - this position offers you the opportunity to work with some of the most talented professionals in the field. If this interests you, keep reading!KuvausAcademic Work is looking for a Test Engineer for our client company Small Giant Games. You will be recruited to our client company. Academic Work will take care of the recruitment process, therefore candidates are kindly asked to direct all questions to Academic Work hel03@academicwork.fi TytehtvtIn this position you will comprehensively be in charge of the quality of the products. Your tasks include supporting the developers and you will be strongly involved in the release of the new version of the games each month. You will participate in the communication with the player base. This position offers the opportunity to stay close to the users which are made up of a community of over a million people. This is a new role in the company, so it is an excellent opportunity for you to work with diverse features and to mold your tasks depending on your own interests. You will get full support from your colleagues in order for you to grow to your best potential. This is an opportunity to work with a very motivated team of professionals in a fun and lively environment! Small Giant Games is a rapidly growing company with a flexible and energetic team. You will get the unique possibility to work with successful mobile games in a thriving Finnish company!Etsimmme henkil onOur ideal candidate knows the basics of test automation. You have a genuine interest towards testing and take pride in the profession you have. You have the ability to learn new technologies quickly and an organized mindset. You have a sharp mind and you are able to work independently and in an organized manner. You also have fluent English skills (spoken and written). Apply for this position if you have:  Know the basics of test automation  A genuine interest towards testing  You are a fast learner with an organized mindset  A sharp mind, capable to work independently and organized  Fluent English skills (spoken and written) It is also seen as an advantage if you have knowledge of working with Unity. Start: As soon as possible Working hours: Full time Employment period: Permanent Location: Helsinki, city center Salary: According to agreement Published: 5.9.2018INFORMATION ON THE APPLICATION PROCESS To apply for the job click on Apply here below. Remember to attach your CV into your application! We only handle applications through our website but if you have questions about the position you can reach us via email in hel03@academicwork.fi Please write the advert ID in the subject and paste the advert link in the mail. We are continuously screening and contacting candidates so make sure to send your application as soon as possible. Please notice that the advert can be removed before eventual last dates on our external advertising pages. When the advert is being removed its either due to that the processes is finished or because we have many qualified applications and are continuing in the selection/interview phase. We are the Home of the Young Professionals. We are experts in recruitment and staffing university students, recently graduated and professionals in the beginning of their career. You can be employed by us as a consultant in one of our client companies or be recruited directly to our client via our recruitment co-operation. You can read more about us at www.academicwork.fi Infoa asiakkaastaSmall Giant Games is one of the fastest growing gaming companies in Finland. Their office is located in the Helsinki city center and the team has some of the most talented developers in Finland. They are proud of the diversity in their team and being a truly international group of passionate professionals. Kysyttv? info@academicwork.fi, Ilmoitusnumero: 15012756 "
5,mobile-developer,Bittium Wireless Oy,Tampere,Windows SW Developers,https://avoimettyopaikat.monster.fi/windows-sw-developers-tampere-pirk-finland-bittium-wireless-oy/11/200012867,"Were looking for software engineers to join our a highly skilled software development team working on our enterprise Mobile VPN product line. In this capacity you will be responsible for prototyping, designing and developing Bittiums products for laptops, tablets and mobile devices mainly on Windows on both user and kernel space.Tasks in general: Prototyping, designing and developing Bittiums products for laptops, tablets and mobile devices mainly on Windows on both user and kernel space Participating in product planning Contributing to the development of engineering practicesWhat you should have in your toolbox: Solid knowledge in programming using C/C++, experience in python is a merit Experience in developing software using Windows APIs Ability to debug driver level networking issues on Windows Good understanding of overall IP networking, including routing, NAT, firewalls and Wi-Fi Demonstrated troubleshooting and problem solving skills and attitude Technological pioneering attitude!To give our customers the best service a small amount of both domestic and international travelling may be required.About Bittium:Bittium specializes in the development of reliable, secure communications and connectivity solutions, leveraging its 30 year legacy of expertise in advanced radio communication technologies. Bittium provides innovative products and customized solutions based on its product platforms and R&D services. Complementing its communications and connectivity solutions, Bittium offers proven information security solutions for mobile devices and portable computers. Starting from November 10th, 2016, Bittium offers its customers also healthcare technology products and services in biosignal measuring in the areas of cardiology, neurology, rehabilitation, occupational health and sports medicine.As an employer Bittium is able to offer a strong and unique work community and a variety of interesting projects with the latest technologies. At Bittium you have the opportunity to work with highly qualified professionals and the leading companies of the industry.In 2017,Bittium's net sales of continuing operations, was 51.6 EUR million. Bittium is listed on Nasdaq Helsinki. "
6,mobile-developer,Bittium Wireless Oy,Espoo,Windows SW Developers,https://avoimettyopaikat.monster.fi/windows-sw-developers-espoo-uusi-finland-bittium-wireless-oy/11/200012732,"Were looking for software engineers to join our a highly skilled software development team working on our enterprise Mobile VPN product line. In this capacity you will be responsible for prototyping, designing and developing Bittiums products for laptops, tablets and mobile devices mainly on Windows on both user and kernel space.Tasks in general: Prototyping, designing and developing Bittiums products for laptops, tablets and mobile devices mainly on Windows on both user and kernel space Participating in product planning Contributing to the development of engineering practicesWhat you should have in your toolbox: Solid knowledge in programming using C/C++, experience in python is a merit Experience in developing software using Windows APIs Ability to debug driver level networking issues on Windows Good understanding of overall IP networking, including routing, NAT, firewalls and Wi-Fi Demonstrated troubleshooting and problem solving skills and attitude Technological pioneering attitude!To give our customers the best service a small amount of both domestic and international travelling may be required.About Bittium:Bittium specializes in the development of reliable, secure communications and connectivity solutions, leveraging its 30 year legacy of expertise in advanced radio communication technologies. Bittium provides innovative products and customized solutions based on its product platforms and R&D services. Complementing its communications and connectivity solutions, Bittium offers proven information security solutions for mobile devices and portable computers. Starting from November 10th, 2016, Bittium offers its customers also healthcare technology products and services in biosignal measuring in the areas of cardiology, neurology, rehabilitation, occupational health and sports medicine.As an employer Bittium is able to offer a strong and unique work community and a variety of interesting projects with the latest technologies. At Bittium you have the opportunity to work with highly qualified professionals and the leading companies of the industry.In 2017,Bittium's net sales of continuing operations, was 51.6 EUR million. Bittium is listed on Nasdaq Helsinki. "
7,mobile-developer,UL Benchmarks,Espoo,Software Developer - Web technologies,https://avoimettyopaikat.monster.fi/software-developer-web-technologies-espoo-uusi-finland-ul-benchmarks/11/199588915,"We are looking for talented software developers to join our User Experience team. In this team, you will create software for the web, mobile and desktop environments. You will design, implement and maintain reliable solutions using modern working methods such as test-driven development and quick release cycles.We are currently using a variety of tools across our various product lines such as Java, Scala, C#, C++, Kotlin and Javascript. If you count some of these among your strengths, you could be the one we are looking for. As a developer at UL, you will help decide what tools we use next.English is our working language, so good written and spoken skills are required to succeed in these roles.These positions are available at both junior and senior level. Relevant experience is important, but we are good at recognizing talent in those who are starting their career.ResponsibilitiesMaintain and expand our web service offerings.Expand, maintain and create the world's leading PC benchmarks.Build scalable services that are used by millions of people around the world.Required skillsKnowledge of Java or other JVM languages, REST APIs.Some knowledge of SQL.Enthusiastic attitude to technology and development.Ideal skillsExperience in software development.Experience in working with databases.Interest in emerging web technologies.Strong hobby projects or contribution to an open source project or similar.Experience with cloud platforms, AWS, GCP or Azure.PreferredB.Sc. in Computer Science or a related field.An interest in the latest PC and mobile hardware is a plus.Strong service oriented attitude.Bonus pointsKnowledge of Spring boot.Knowledge of Hibernate.Experience with microservices.How to applyPlease send your application together with your CV to UL.BenchmarkCareers@ul.com Working at ULYou'll work with equally talented programmers, artists, designers and engineers in an environment that's friendly and casual. We work in small, self-managed teams that control their own time. You'll enjoy a great deal of autonomy and responsibility while making a significant and visible contribution to our software and services.Working at the cutting edge of new PC and mobile technology will give you an excellent opportunity to improve your existing skills, while learning new ones. We offer varied and interesting challenges and work with many of the world's leading technology companies. We respect the importance of work-life balance and are committed to providing a relaxed, comfortable and healthy working environment.About ULUL is an independent, global safety science organization with more than a century of expertise and innovation in the fields of product safety testing, inspection, and verification services. With 10,000 people in 40 countries, UL helps customers, purchasers, and policymakers navigate market risk and complexity.UL benchmarks help people measure, understand and manage computer hardware performance. We create 3DMark, PCMark and VRMark, the industry's most trusted and widely used benchmarks for desktop computers, notebooks, tablets, smartphones, and VR systems. Our software is used throughout industry, by hundreds of press publications, and by millions of people around the globe. "
8,mobile-developer,UL Benchmarks,Espoo,Software Developer - Full stack technologies,https://avoimettyopaikat.monster.fi/software-developer-full-stack-technologies-espoo-uusi-finland-ul-benchmarks/11/199588786,"We are looking for talented software developers to join our User Experience team. In this team, you will create software for the web, mobile and desktop environments. You will design, implement and maintain reliable solutions using modern working methods such as test-driven development and quick release cycles.We are currently using a variety of tools across our various product lines such as Java, Scala, C#, C++, Kotlin and Javascript. If you count some of these among your strengths, you could be the one we are looking for. As a developer at UL, you will help decide what tools we use next.English is our working language, so good written and spoken skills are required to succeed in these roles.These positions are available at both junior and senior level. Relevant experience is important, but we are good at recognizing talent in those who are starting their career.ResponsibilitiesMaintain and expand our web service offerings.Expand, maintain and create the world's leading PC benchmarks.Build scalable services that are used by millions of people around the world.Build user experiences across a multitude of platforms in products used by the world's largest companies.Participate in development of benchmarks that help guide the next generation of computing hardware.Required skillsKnowledge of Java or other JVM languages, REST APIs and Javascript front ends.Enthusiastic attitude to technology and software development.Ideal skillsA passion for user experience across platforms.Knowledge of modern web technologies and how they are implemented.A drive to work on all aspects of an application's life cycle, from back-end, front-end, and deployment.PreferredB.Sc. in Computer Science or a related field.Interest in emerging web technologies.An interest in the latest PC and mobile hardware is a plus.Bonus pointsExperience with Riot.js, Angular.js or React.Experience with microservices.Experience with cloud platforms, AWS, GCP or Azure.Knowledge of C++.Knowledge of C# and WPF.Knowledge of mobile application development.Strong hobby projects, or contribution to an open source project or similar.How to applyPlease send your application together with your CV to UL.BenchmarkCareers@ul.com Working at ULYou'll work with equally talented programmers, artists, designers and engineers in an environment that's friendly and casual. We work in small, self-managed teams that control their own time. You'll enjoy a great deal of autonomy and responsibility while making a significant and visible contribution to our software and services.Working at the cutting edge of new PC and mobile technology will give you an excellent opportunity to improve your existing skills, while learning new ones. We offer varied and interesting challenges and work with many of the world's leading technology companies. We respect the importance of work-life balance and are committed to providing a relaxed, comfortable and healthy working environment.About ULUL is an independent, global safety science organization with more than a century of expertise and innovation in the fields of product safety testing, inspection, and verification services. With 10,000 people in 40 countries, UL helps customers, purchasers, and policymakers navigate market risk and complexity.UL benchmarks help people measure, understand and manage computer hardware performance. We create 3DMark, PCMark and VRMark, the industry's most trusted and widely used benchmarks for desktop computers, notebooks, tablets, smartphones, and VR systems. Our software is used throughout industry, by hundreds of press publications, and by millions of people around the globe. "
9,mobile-developer,UL Benchmarks,Espoo,Software Developer - DevOps,https://avoimettyopaikat.monster.fi/software-developer-devops-espoo-uusi-finland-ul-benchmarks/11/199588683,"We are looking for talented software developers to join our User Experience team. In this team, you will create software for the web, mobile and desktop environments. You will design, implement and maintain reliable solutions using modern working methods such as test-driven development and quick release cycles.We are currently using a variety of tools across our various product lines such as Java, Scala, C#, C++, Kotlin and Javascript. If you count some of these among your strengths, you could be the one we are looking for. As a developer at UL, you will help decide what tools we use next.English is our working language, so good written and spoken skills are required to succeed in these roles.These positions are available at both junior and senior level. Relevant experience is important, but we are good at recognizing talent in those who are starting their career.ResponsibilitiesMonitor the status of projects and the development environments.Review and evaluate work tools and procedures.Identify inefficiencies and problems, and recommend solutions.Ensure smooth infrastructure operations through effective design, integration, and use of technology.Assist development teams to implement build structures and continuous integration processes.Required skillsEnthusiastic attitude to technology and development.Knowledge of Continuous Integration tools, including, but not limited to: Jenkins, Gitlab, and Perforce.Ideal skillsExperience with cloud platforms, AWS, GCP or Azure.Prior experience from Unix/Linux administration.Interest in emerging web technologies.Experience with continuous integration tools.PreferredB.Sc. in Computer Science or a related field.Open-minded, result-oriented and eager to solve challenges.Bonus pointsJava development experience.Windows desktop application development experience.Interest in PC hardware / gaming.Interest in infrastructure and tooling.Knowledge of Kubernetes.Lean-Agile process knowledge.How to applyPlease send your application together with your CV to UL.BenchmarkCareers@ul.com Working at ULYou'll work with equally talented programmers, artists, designers and engineers in an environment that's friendly and casual. We work in small, self-managed teams that control their own time. You'll enjoy a great deal of autonomy and responsibility while making a significant and visible contribution to our software and services.Working at the cutting edge of new PC and mobile technology will give you an excellent opportunity to improve your existing skills, while learning new ones. We offer varied and interesting challenges and work with many of the world's leading technology companies. We respect the importance of work-life balance and are committed to providing a relaxed, comfortable and healthy working environment.About ULUL is an independent, global safety science organization with more than a century of expertise and innovation in the fields of product safety testing, inspection, and verification services. With 10,000 people in 40 countries, UL helps customers, purchasers, and policymakers navigate market risk and complexity.UL benchmarks help people measure, understand and manage computer hardware performance. We create 3DMark, PCMark and VRMark, the industry's most trusted and widely used benchmarks for desktop computers, notebooks, tablets, smartphones, and VR systems. Our software is used throughout industry, by hundreds of press publications, and by millions of people around the globe. "
